one,two,three,four,five,six,seven,eight,nine,ten
0.1684,0.1441,0.1233,0.1585,0.1585,0.1519,0.1550,0.1527,0.1550,0.1410
0.1441,0.1610,0.1691,0.1521,0.1495,0.1551,0.1540,0.1543,0.1543,0.1590
0.1233,0.1691,0.2093,0.1417,0.1418,0.1544,0.1496,0.1528,0.1494,0.1753
0.1585,0.1521,0.1417,0.1582,0.1558,0.1558,0.1536,0.1542,0.1538,0.1475
0.1585,0.1495,0.1418,0.1558,0.1556,0.1535,0.1519,0.1531,0.1520,0.1482
0.1519,0.1551,0.1544,0.1558,0.1535,0.1567,0.1527,0.1539,0.1527,0.1523
0.1550,0.1540,0.1496,0.1536,0.1519,0.1527,0.1593,0.1528,0.1593,0.1512
0.1527,0.1543,0.1528,0.1542,0.1531,0.1539,0.1528,0.1536,0.1530,0.1526
0.1550,0.1543,0.1494,0.1538,0.1520,0.1527,0.1593,0.1530,0.1594,0.1512
0.1410,0.1590,0.1753,0.1475,0.1482,0.1523,0.1512,0.1526,0.1512,0.1622
